rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure
0.2557077625570776,0.9655172413793104,0.40433212996389883,0.22477064220183487,0.8596491228070176,0.3563636363636363,0.2557077625570776,0.9655172413793104,0.40433212996389883
0.8108108108108109,1.0,0.8955223880597014,0.8055555555555556,1.0,0.8923076923076924,0.8108108108108109,1.0,0.8955223880597014
0.8804347826086957,1.0,0.9364161849710982,0.8791208791208791,1.0,0.935672514619883,0.8804347826086957,1.0,0.9364161849710982
0.7556818181818182,0.8807947019867549,0.8134556574923547,0.6,0.7,0.6461538461538462,0.6420454545454546,0.7483443708609272,0.6911314984709481
0.6271186440677966,0.9487179487179487,0.7551020408163266,0.5862068965517241,0.8947368421052632,0.7083333333333333,0.6271186440677966,0.9487179487179487,0.7551020408163266
0.7903225806451613,0.9074074074074074,0.8448275862068966,0.7049180327868853,0.8113207547169812,0.7543859649122806,0.7903225806451613,0.9074074074074074,0.8448275862068966
0.5922330097087378,0.9384615384615385,0.7261904761904763,0.5392156862745098,0.859375,0.6626506024096386,0.5825242718446602,0.9230769230769231,0.7142857142857142
0.6451612903225806,1.0,0.7843137254901961,0.6422764227642277,1.0,0.7821782178217822,0.6451612903225806,1.0,0.7843137254901961
0.9019607843137255,1.0,0.9484536082474228,0.9,1.0,0.9473684210526316,0.9019607843137255,1.0,0.9484536082474228
0.98989898989899,0.98989898989899,0.98989898989899,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.98989898989899,0.98989898989899,0.98989898989899
